Altitude,Temperature,Pressure,Density,Speed_of_sound
28762.5,225.4125,1412.89183,0.021836,300.977521
28770,225.42,1411.28675,0.02181,300.982528
28777.5,225.4275,1409.683547,0.021785,300.987535
28785,225.435,1408.082218,0.021759,300.992542
28792.5,225.4425,1406.482762,0.021734,300.997549
28800,225.45,1404.885175,0.021708,301.002555
28807.5,225.4575,1403.289457,0.021683,301.007562
28815,225.465,1401.695603,0.021658,301.012569
28822.5,225.4725,1400.103613,0.021632,301.017575
28830,225.48,1398.513484,0.021607,301.022582
28837.5,225.4875,1396.925214,0.021582,301.027588
28845,225.495,1395.3388,0.021557,301.032594
28852.5,225.5025,1393.754241,0.021531,301.0376
28860,225.51,1392.171533,0.021506,301.042606
28867.5,225.5175,1390.590675,0.021481,301.047612
28875,225.525,1389.011665,0.021456,301.052618
28882.5,225.5325,1387.434501,0.021431,301.057624
28890,225.54,1385.859179,0.021406,301.06263
28897.5,225.5475,1384.285699,0.021381,301.067635
28905,225.555,1382.714057,0.021356,301.072641
28912.5,225.5625,1381.144251,0.021331,301.077647
28920,225.57,1379.57628,0.021306,301.082652
28927.5,225.5775,1378.010142,0.021281,301.087657
28935,225.585,1376.445833,0.021256,301.092662
28942.5,225.5925,1374.883351,0.021231,301.097668
28950,225.6,1373.322696,0.021207,301.102673
28957.5,225.6075,1371.763863,0.021182,301.107678
28965,225.615,1370.206852,0.021157,301.112683
28972.5,225.6225,1368.65166,0.021132,301.117687
28980,225.63,1367.098284,0.021108,301.122692
28987.5,225.6375,1365.546723,0.021083,301.127697
28995,225.645,1363.996974,0.021058,301.132701
29002.5,225.6525,1362.449036,0.021034,301.137706
29010,225.66,1360.902906,0.021009,301.14271
29017.5,225.6675,1359.358581,0.020985,301.147715
29025,225.675,1357.816061,0.02096,301.152719
29032.5,225.6825,1356.275341,0.020936,301.157723
29040,225.69,1354.736421,0.020911,301.162727
29047.5,225.6975,1353.199299,0.020887,301.167731
